,Unnamed: 0,Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
90,90,0,0,0,,,4.0,2.0,,10.5,11.7,14.1,17.1,20.3,13.5,480.0,587.0,760.0,957.0,1330.0,842.0,63.0,3244.0,,0.0
91,91,0,0,0,,1.0,4.0,2.0,1.0,11.8,12.3,12.3,14.3,16.7,13.1,669.0,800.0,800.0,918.0,1034.0,841.0,64.0,57.0,,0.0
92,92,0,0,0,,1.0,4.0,2.0,3.0,8.7,10.3,11.1,15.8,19.5,12.4,1000.0,1186.0,1330.0,1700.0,2530.0,1471.0,119.0,148.0,,0.0
93,93,0,0,0,,3.0,4.0,2.0,4.0,15.6,17.6,20.0,22.2,25.6,19.7,340.0,400.0,480.0,518.0,620.0,468.0,24.0,641.0,,0.0
94,94,0,0,0,,3.0,4.0,2.0,5.0,12.4,13.9,15.6,17.7,19.2,15.4,530.0,568.0,630.0,700.0,760.0,640.0,42.0,1200.0,,0.0
95,95,0,0,0,,3.0,4.0,2.0,6.0,10.5,11.6,12.8,14.0,15.0,12.7,671.0,760.0,820.0,900.0,1077.0,839.0,66.0,882.0,,0.0
96,96,0,0,0,,3.0,4.0,2.0,7.0,9.7,10.5,11.5,12.1,14.5,11.8,790.0,893.0,937.0,1084.0,1357.0,1036.0,88.0,316.0,,0.0
97,97,0,0,0,,,5.0,,,10.6,11.8,13.4,15.1,16.6,13.1,520.0,614.0,750.0,900.0,1100.0,793.0,60.0,6887.0,216783.0,0.0
98,98,0,0,0,,2.0,5.0,,2.0,9.8,10.7,12.1,13.3,14.6,12.1,850.0,980.0,1100.0,1320.0,1565.0,1154.0,95.0,640.0,47153.0,0.0
99,99,0,0,0,,2.0,5.0,,8.0,12.2,13.4,15.0,17.1,20.7,15.4,280.0,400.0,470.0,531.0,600.0,462.0,30.0,575.0,30102.0,0.0
100,100,0,0,0,,2.0,5.0,,9.0,11.8,13.4,14.8,16.0,17.4,14.6,508.0,555.0,625.0,690.0,730.0,621.0,43.0,2852.0,66915.0,0.0
101,101,0,0,0,,2.0,5.0,,10.0,10.3,11.6,12.9,14.2,16.0,12.8,666.0,735.0,800.0,900.0,990.0,822.0,64.0,2820.0,72614.0,0.0
102,102,0,0,0,,,5.0,1.0,,11.2,12.6,14.1,15.6,17.3,13.8,530.0,615.0,750.0,900.0,1250.0,815.0,59.0,2505.0,,0.0
103,103,0,0,0,,1.0,5.0,1.0,1.0,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,30.0,,0.0
104,104,0,0,0,,1.0,5.0,1.0,3.0,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,37.0,,0.0
105,105,0,0,0,,3.0,5.0,1.0,4.0,13.3,13.8,15.0,17.8,22.5,15.9,381.0,430.0,525.0,550.0,560.0,494.0,31.0,226.0,,0.0
106,106,0,0,0,,3.0,5.0,1.0,5.0,12.7,14.3,15.3,16.4,17.4,15.2,535.0,560.0,630.0,681.0,727.0,628.0,41.0,1122.0,,0.0
107,107,0,0,0,,3.0,5.0,1.0,6.0,11.1,11.9,13.1,14.1,15.8,13.2,700.0,750.0,830.0,900.0,980.0,839.0,64.0,941.0,,0.0
108,108,0,0,0,,3.0,5.0,1.0,7.0,10.0,10.7,12.1,12.9,14.2,11.9,890.0,930.0,1030.0,1163.0,1280.0,1066.0,90.0,149.0,,0.0
109,109,0,0,0,,,5.0,2.0,,10.2,11.6,13.1,14.7,16.3,12.7,500.0,611.0,750.0,914.0,1062.0,780.0,61.0,4382.0,,0.0
